Removed Pin From Net: NetName=GND Pin=C10-1
Change Component Footprint: Designator=C10 Old Footprint=CAPC3216X180X50ML20T25 New Footprint=FP-CL10-IPC_C
Change Component Footprint: Designator=C9 Old Footprint=FP-C0603C-CF-MFG New Footprint=FP-CL21-IPC_B
Change Component Footprint: Designator=C11 Old Footprint=FP-C0805C104M5UACTU-MFG New Footprint=FP-CL830-IPC_C
Change Component Footprint: Designator=C8 Old Footprint=FP-C0805C-DG-MFG New Footprint=FP-CL21-IPC_A
Change Component Footprint: Designator=C12 Old Footprint=FP-C3225-250-0_4-IPC_B New Footprint=FP-CL21-IPC_C
Change Component Footprint: Designator=C13 Old Footprint=FP-C3225-250-0_4-IPC_B New Footprint=FP-CL21-IPC_C
Change Component Footprint: Designator=C14 Old Footprint=FP-C3225-250-0_4-IPC_B New Footprint=FP-CL21-IPC_C
Change Component Footprint: Designator=R10 Old Footprint=FP-RMCF1210-IPC_A New Footprint=FP-CRGP2512-IPC_C
Change Component Footprint: Designator=R11 Old Footprint=FP-RMCF1210-IPC_A New Footprint=FP-CRGP2512-IPC_C
Change Component Footprint: Designator=R12 Old Footprint=FP-RMCF1210-IPC_A New Footprint=FP-CRGP2512-IPC_C
Change Component Comment : Designator=C11 Old Comment=0.1uF New Comment=100nF
Change Component Comment : Designator=C9 Old Comment=0.22uF New Comment=220nF
Change Component Comment : Designator=L1 Old Comment=SRN8040TA-6R8M New Comment=6.8 µH
Change Managed Component Library Link : Designator=C8 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=BB83B2C5-EEB1-46AB-824F-06572DF18BD6 New ItemGUID=04A370AA-3876-4B91-B00A-5F0EAE7775EC Old RevisionGUID=316FD8F7-2D16-4229-A14B-F33EB7DCDC66 New RevisionGUID=A5DEF9B9-FA5A-4B29-91B4-896BBB56E744
Change Managed Component Library Link : Designator=C9 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=9A73DCA8-C8EF-49F1-9D62-EB41FBEBA646 New ItemGUID=E8E16157-8EEF-49CA-B7BD-A09B8B80018E Old RevisionGUID=AF48C481-475C-4F36-B6E0-3DFA590697AD New RevisionGUID=611FC5AE-818A-4F0F-AA6D-AC280D07F2C9
Change Managed Component Library Link : Designator=C10 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=A6B8830B-D56C-4124-B21E-540352E97766 New ItemGUID=E0CB4CA3-D9F8-4B1F-A761-19F1CCC8F2FD Old RevisionGUID=D0DA5941-DCCF-492D-B47A-7BC33B5AE52B New RevisionGUID=3BD44745-0736-4B58-AA25-447F3CA65283
Change Managed Component Library Link : Designator=C11 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=625D31EF-F004-4505-998C-EF8BC3795A78 New ItemGUID=7102E3AB-8049-4ACB-AFD2-82C4055F118B Old RevisionGUID=D0F42E28-812B-4E0A-BDA7-024E6D4DB94B New RevisionGUID=90A814ED-C4F0-42BC-9BBE-430F24CB223B
Change Managed Component Library Link : Designator=C12 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=1954D0E7-6B0F-4470-9748-F4908ABA05EC New ItemGUID=70F2586D-D1C4-4A59-B0FD-8E15598D15D6 Old RevisionGUID=5247FD9E-FF92-4D4A-8719-C10BCDFAA66C New RevisionGUID=862C4271-92C1-4B5D-9082-75212BB0ED7B
Change Managed Component Library Link : Designator=C13 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=1954D0E7-6B0F-4470-9748-F4908ABA05EC New ItemGUID=70F2586D-D1C4-4A59-B0FD-8E15598D15D6 Old RevisionGUID=5247FD9E-FF92-4D4A-8719-C10BCDFAA66C New RevisionGUID=862C4271-92C1-4B5D-9082-75212BB0ED7B
Change Managed Component Library Link : Designator=C14 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=1954D0E7-6B0F-4470-9748-F4908ABA05EC New ItemGUID=70F2586D-D1C4-4A59-B0FD-8E15598D15D6 Old RevisionGUID=5247FD9E-FF92-4D4A-8719-C10BCDFAA66C New RevisionGUID=862C4271-92C1-4B5D-9082-75212BB0ED7B
Change Managed Component Library Link : Designator=R10 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=64029695-857F-45AA-8D7E-B6A97D21312B New ItemGUID=E5F35CAB-988D-424B-8C47-D96882F0BC0C Old RevisionGUID=BA115A87-A419-451D-99C6-10056532C9C5 New RevisionGUID=8AF48A62-5401-4997-8F4D-EFDF1C451F8D
Change Managed Component Library Link : Designator=R11 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=64029695-857F-45AA-8D7E-B6A97D21312B New ItemGUID=E5F35CAB-988D-424B-8C47-D96882F0BC0C Old RevisionGUID=BA115A87-A419-451D-99C6-10056532C9C5 New RevisionGUID=8AF48A62-5401-4997-8F4D-EFDF1C451F8D
Change Managed Component Library Link : Designator=R12 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=11E3ADF1-509C-4D8A-8C43-3948F05FC2BE New ItemGUID=6252C4AF-002A-4F13-9945-9EF948CFA419 Old RevisionGUID=6465D20E-6C3E-49D2-A1EB-1B14499EC62B New RevisionGUID=4B31249F-1C8C-4E18-8613-76C54148120A
Change component parameters: Designator = "C8" ("C8"); Footprint = "FP-C0805C-DG-MFG"; UniqueID = "\KJLIYKHD" ("\KJLIYKHD")
Change component parameters (AddParameter): Name = "Capacitance"; Value = "10uF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Imperial)"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Metric)"; Value = "2012"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case/Package"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Depth"; Value = "1.25mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dielectric"; Value = "X5R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "1.25mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "2mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "85°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Thickness"; Value = "0.057inch"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "25V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "0.049inch"; VariantName = "[No Variations]"
Change component parameters: Designator = "C9" ("C9"); Footprint = "FP-C0603C-CF-MFG"; UniqueID = "\DNCIUVXD" ("\DNCIUVXD")
Change component parameters (AddParameter): Name = "Capacitance"; Value = "220nF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Imperial)"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Metric)"; Value = "2012"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case/Package"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Plating"; Value = "Tin"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Depth"; Value = "1.25mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dielectric"; Value = "X7R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "1.25mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "2mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Thickness"; Value = "0.053inch"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "25V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "0.049inch"; VariantName = "[No Variations]"
Change component parameters: Designator = "C10" ("C10"); Footprint = "CAPC3216X180X50ML20T25"; UniqueID = "\VSRMIMFQ" ("\VSRMIMFQ")
Change component parameters (AddParameter): Name = "Capacitance"; Value = "1uF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Imperial)"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Metric)"; Value = "1608"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case/Package"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Plating"; Value = "Tin"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Depth"; Value = "0.8mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dielectric"; Value = "X5R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "0.8mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "1.6mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Material"; Value = "Ceramic"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "85°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Thickness"; Value = "0.035inch"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage"; Value = "25V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "25V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating (DC)"; Value = "25V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "0.031inch"; VariantName = "[No Variations]"
Change component parameters: Designator = "C11" ("C11"); Footprint = "FP-C0805C104M5UACTU-MFG"; UniqueID = "\SDBMOVRZ" ("\SDBMOVRZ")
Change component parameters (AddParameter): Name = "Capacitance"; Value = "100nF"; VariantName = "[No Variations]"
